
公告,#genre#
CCTV5,http://61.240.37.191:8085/rtp/226.0.2.209:9584
CCTV6,http://61.240.37.191:8085/rtp/226.0.2.210:9592
CCTV7,http://61.240.37.191:8085/rtp/226.0.2.159:9184
CCTV8,http://61.240.37.191:8085/rtp/226.0.2.211:9600
CCTV9,http://61.240.37.191:8085/rtp/226.0.2.161:9200
CCTV10,http://61.240.37.191:8085/rtp/226.0.2.162:9208
CCTV12,http://61.240.37.191:8085/rtp/226.0.2.164:9224
CCTV13,http://61.240.37.191:8085/rtp/226.0.2.165:9232
CCTV14,http://61.240.37.191:8085/rtp/226.0.2.166:9240
CCTV5,http://61.240.37.191:8085/rtp/226.0.2.168:9256
CCTV16,http://61.240.37.191:8085/rtp/226.0.2.169:9264
CCTV17,http://61.240.37.191:8085/rtp/226.0.2.170:9272
CCTV1,http://61.240.37.191:8085/rtp/226.0.2.16:8040
CCTV1,http://61.240.37.191:8085/rtp/226.0.2.18:8056
CCTV2,http://61.240.37.191:8085/rtp/226.0.2.19:8064
CCTV3,http://61.240.37.191:8085/rtp/226.0.2.20:8072
CCTV4,http://61.240.37.191:8085/rtp/226.0.2.21:8080
CCTV5,http://61.240.37.191:8085/rtp/226.0.2.22:8088
CCTV6,http://61.240.37.191:8085/rtp/226.0.2.23:8096
CCTV7,http://61.240.37.191:8085/rtp/226.0.2.24:8104
CCTV8,http://61.240.37.191:8085/rtp/226.0.2.25:8112
CCTV9,http://61.240.37.191:8085/rtp/226.0.2.26:8120
CCTV10,http://61.240.37.191:8085/rtp/226.0.2.27:8128
CCTV11,http://61.240.37.191:8085/rtp/226.0.2.28:8136
CCTV12,http://61.240.37.191:8085/rtp/226.0.2.29:8144
CCTV13,http://61.240.37.191:8085/rtp/226.0.2.30:8152
CCTV14,http://61.240.37.191:8085/rtp/226.0.2.31:8160
CCTV15,http://61.240.37.191:8085/rtp/226.0.2.32:8168
CCTV17,http://61.240.37.191:8085/rtp/226.0.2.207:9568
CETV1,http://61.240.37.191:8085/rtp/226.0.2.68:8456
CETV2,http://61.240.37.191:8085/rtp/226.0.2.69:8464
CETV4,http://61.240.37.191:8085/rtp/226.0.2.70:8472
CETV早期教育,http://61.240.37.191:8085/rtp/226.0.2.99:8704
CETV1,http://61.240.37.191:8085/rtp/226.0.2.181:9360
CCTV央视台球,http://61.240.37.191:8085/rtp/226.0.2.216:9640
CCTV高网,http://61.240.37.191:8085/rtp/226.0.2.217:9648
CCTV电视指南,http://61.240.37.191:8085/rtp/226.0.2.218:9656
CCTV央视文化精品,http://61.240.37.191:8085/rtp/226.0.2.219:9664
CCTV风云音乐,http://61.240.37.191:8085/rtp/226.0.2.220:9672
CCTV第一剧场,http://61.240.37.191:8085/rtp/226.0.2.221:9680
CCTV世界地理,http://61.240.37.191:8085/rtp/226.0.2.222:9688
CCTV兵器科技,http://61.240.37.191:8085/rtp/226.0.2.223:9696
CCTV怀旧剧场,http://61.240.37.191:8085/rtp/226.0.2.224:9704
CCTV风云足球,http://61.240.37.191:8085/rtp/226.0.2.225:9712
CCTV女性时尚,http://61.240.37.191:8085/rtp/226.0.2.226:9720
CCTV风云剧场,http://61.240.37.191:8085/rtp/226.0.2.227:9728
CCTV1,http://58.216.82.81:5555/rtp/239.49.8.129:6000
CCTV2,http://58.216.82.81:5555/rtp/239.49.8.130:6000
CCTV3,http://58.216.82.81:5555/rtp/239.49.9.31:6000
CCTV4,http://58.216.82.81:5555/rtp/239.49.8.131:6000
CCTV5,http://58.216.82.81:5555/rtp/239.49.9.32:6000
CCTV5,http://58.216.82.81:5555/rtp/239.49.8.137:6000
CCTV6,http://58.216.82.81:5555/rtp/239.49.9.33:6000
CCTV7,http://58.216.82.81:5555/rtp/239.49.8.132:6000
CCTV8,http://58.216.82.81:5555/rtp/239.49.9.34:6000
CCTV9,http://58.216.82.81:5555/rtp/239.49.8.133:6000
CCTV10,http://58.216.82.81:5555/rtp/239.49.8.134:6000
CCTV12,http://58.216.82.81:5555/rtp/239.49.8.135:6000
CCTV13,http://58.216.82.81:5555/rtp/239.49.9.43:6000
CCTV14,http://58.216.82.81:5555/rtp/239.49.8.136:6000
CCTV1,http://58.216.82.81:5555/rtp/239.49.1.1:6000
CCTV2,http://58.216.82.81:5555/rtp/239.49.1.2:6000
CCTV3,http://58.216.82.81:5555/rtp/239.49.1.3:6000
CCTV4,http://58.216.82.81:5555/rtp/239.49.1.4:6000
CCTV5,http://58.216.82.81:5555/rtp/239.49.1.5:6000
CCTV6,http://58.216.82.81:5555/rtp/239.49.1.6:6000
CCTV7,http://58.216.82.81:5555/rtp/239.49.1.254:6000
CCTV8,http://58.216.82.81:5555/rtp/239.49.1.8:6000
CCTV10,http://58.216.82.81:5555/rtp/239.49.1.10:6000
CCTV11,http://58.216.82.81:5555/rtp/239.49.1.11:6000
CCTV12,http://58.216.82.81:5555/rtp/239.49.1.12:6000
CCTV13,http://58.216.82.81:5555/rtp/239.49.1.13:6000
CCTV14,http://58.216.82.81:5555/rtp/239.49.1.14:6000
CCTV15,http://58.216.82.81:5555/rtp/239.49.1.15:6000
CCTV17,http://58.216.82.81:5555/rtp/239.49.1.7:6000
CCTV1,http://221.234.185.60:4022/rtp/239.254.96.96:8550
CCTV2,http://221.234.185.60:4022/rtp/239.69.1.102:10250
CCTV3,http://221.234.185.60:4022/rtp/239.69.1.122:10370
CCTV4,http://221.234.185.60:4022/rtp/239.69.1.138:10466
CCTV5,http://221.234.185.60:4022/rtp/239.69.1.123:10376
CCTV5,http://221.234.185.60:4022/rtp/239.254.96.234:9484
CCTV6,http://221.234.185.60:4022/rtp/239.69.1.124:10382
CCTV7,http://221.234.185.60:4022/rtp/239.69.1.103:10256
CCTV8,http://221.234.185.60:4022/rtp/239.69.1.125:10388
CCTV9,http://221.234.185.60:4022/rtp/239.69.1.104:10262
CCTV10,http://221.234.185.60:4022/rtp/239.69.1.105:10268
CCTV11,http://221.234.185.60:4022/rtp/239.69.1.154:10560
CCTV12,http://221.234.185.60:4022/rtp/239.69.1.106:10274
CCTV13,http://221.234.185.60:4022/rtp/239.254.96.161:9040
CCTV14,http://221.234.185.60:4022/rtp/239.69.1.107:10280
CCTV15,http://221.234.185.60:4022/rtp/239.69.1.155:10566
CCTV16,http://221.234.185.60:4022/rtp/239.69.1.247:11124
CCTV17,http://221.234.185.60:4022/rtp/239.69.1.152:10548
CCTV第一剧场,http://221.234.185.60:4022/rtp/239.69.1.74:10084
CCTV兵器科技,http://221.234.185.60:4022/rtp/239.69.1.79:10114
CCTV风云足球,http://221.234.185.60:4022/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://221.234.185.60:4022/rtp/239.69.1.83:10138
CCTV世界地理,http://221.234.185.60:4022/rtp/239.69.1.91:10186
CCTV央视台球,http://221.234.185.60:4022/rtp/239.69.1.98:10224
CCTV16,http://221.234.185.60:4022/rtp/239.69.1.249:11136
CETV1,http://221.234.185.60:4022/rtp/239.69.1.110:10298
CCTV5,http://221.234.185.60:4022/rtp/239.69.1.12:9712
CCTV16,http://221.234.185.60:4022/rtp/239.69.1.13:9718
CCTV1,http://60.220.167.112:8082/rtp/226.0.2.153:9136
CCTV2,http://60.220.167.112:8082/rtp/226.0.2.154:9144
